收件年,陽性數,（一）型別,（一）比例,（二）型別,（二）比例,（三）型別,（三）比例,（四）型別,（四）比例,（五）型別,（五）比例
2001,817,HSV1,29,ADENO,21,INFB,16,CMV,13,INFAuntype,9
2002,1881,ADENO,39,HSV1,17,INFB,11,INFAH3,9,INFAH1,8
2003,1337,ADENO,29,HSV1,27,INFAH3,23,INFB,9,CMV,4
2004,1768,INFAH3,32,ADENO,27,HSV1,20,INFB,9,CMV,6
2005,2651,ADENO,32,INFB,27,INFAH3,19,HSV1,13,CMV,3
2006,2288,ADENO,25,INFB,21,HSV1,18,INFAH1,16,INFAH3,8
2007,3025,ADENO,28,INFAH3,19,HSV1,15,INFB,15,INFAH1,9
2008,2579,ADENO,32,HSV1,23,INFAH3,10,INFAH1,10,INFB,9
2009,4030,swH1,46,ADENO,17,HSV1,11,INFAH1,9,INFAH3,7
2010,2398,INFAH3,27,INFB,20,ADENO,16,HSV1,13,swH1,9
2011,8796,ADENO,43,INFB,24,swH1,12,HSV1,7,PARAINF1,3
2012,3232,INFAH3,28,INFB,27,HSV1,13,ADENO,12,PARAINF3,5
2013,5797,ADENO,25,INFAH3,25,swH1,17,HSV1,12,PARAINF3,5
2014,4025,ADENO,50,INFB,14,INFAH3,12,swH1,9,HSV1,8
2015,3027,INFAH3,31,ADENO,23,INFB,13,HSV1,9,swH1,8
2016,3089,swH1,23,INFB,22,ADENO,22,INFAH3,12,HSV1,10
2017,3455,INFAH3,39,ADENO,24,INFB,14,HSV1,7,PARAINF3,4
2018,1426,INFB,55,ADENO,21,INFAH3,9,swH1,5,HSV1,5
